id	MC	deltaT	negativeEvent	intervention	interactions	Interested	Joyful	Determined	Calm	Lively	Enthusiastic	Relaxed	Cheerful	Content	Energetic	Upset	Gloomy	Sluggish	Anxious	Bored	Irritated	Nervous	Listless	classi
2	2	1,05	45	0	0	76	66	82	46	71	78	41	73	68	74	34	44	15	36	27	49	50	35	2
2	2	1,63	58	0	0	81	87	71	93	71	80	81	58	74	67	9	12	30	13	15	10	0	15	2
2	1	1,86	45	0	1	47	56	49	27	51	75	14	39	59	67	62	24	37	64	26	65	72	31	1
2	1	4,86	39	0	1	68	43	72	31	58	32	46	73	48	59	62	64	39	34	53	54	67	11	1
2	1	0,470000000000001	81	0	0	57	34	70	65	94	68	59	62	84	51	16	16	51	38	73	56	52	25	1
2	1	1,01	31	0	0	7	29	63	13	22	54	37	30	37	56	78	73	31	61	28	39	58	29	1
2	1	1,06	57	0	1	59	48	72	26	57	53	56	40	32	31	44	53	13	66	32	59	31	14	1
2	1	0,49	50	0	0	42	63	28	55	61	93	83	64	42	39	41	40	69	13	52	37	9	58	1
2	1	0,449999999999999	45	0	1	59	55	40	57	61	33	48	64	21	28	39	62	50	36	51	73	42	23	1
2	1	0,559999999999999	36	0	0	72	16	34	43	55	56	45	51	55	59	52	46	79	50	58	79	50	29	1
2	1	1,85	41	0	1	46	83	7	52	59	68	60	70	64	97	30	75	86	15	77	40	34	91	1
2	1	1,44	56	0	0	60	41	31	71	23	68	35	52	38	27	46	5	62	2	49	10	13	84	1
2	1	1,46	63	0	0	29	65	56	14	58	30	14	41	67	51	62	40	39	51	25	33	62	46	1
2	1	0,420000000000002	41	0	1	47	56	64	55	41	62	63	20	28	47	29	1	34	7	10	50	78	33	1
2	1	0,949999999999999	46	0	0	72	98	32	99	72	70	65	39	71	68	4	42	68	22	46	44	49	44	1
2	1	0,5	29	0	1	35	27	24	16	51	32	31	42	33	2	29	58	47	38	26	54	38	55	1
2	1	1,17	53	0	0	31	14	51	5	11	48	53	35	25	16	50	51	86	74	54	44	50	39	1
2	1	0,5	85	0	1	87	55	58	79	71	43	88	32	70	59	34	59	63	22	27	55	50	43	1
2	1	2,58	49	0	0	52	34	11	58	53	41	42	20	32	53	76	54	64	88	80	63	59	67	1
2	1	2,37	32	0	1	55	48	52	66	62	75	54	60	49	63	72	62	44	17	31	13	55	36	1
2	1	0,539999999999999	65	0	1	40	45	24	22	44	28	30	47	50	31	25	59	56	49	52	74	22	50	1
2	1	0,530000000000001	53	0	1	65	52	19	60	26	31	38	25	10	48	28	16	81	31	83	35	38	76	1
2	2	1,91	72	0	1	44	61	50	79	83	43	81	57	54	67	18	30	43	25	34	45	37	32	2
2	2	2,03	47	0	1	69	79	78	84	72	74	85	69	59	80	39	44	60	20	30	46	44	25	2
2	2	0,469999999999999	56	0	1	34	58	20	29	61	45	27	40	35	48	74	60	3	69	55	55	92	50	1
2	1	1,56	32	0	1	44	59	58	71	39	72	31	53	70	73	27	31	30	30	22	23	19	52	1
2	1	0,409999999999997	34	0	1	49	31	65	69	42	52	78	54	52	45	50	57	50	37	52	8	36	11	1
2	1	5,54000000000001	60	0	0	43	55	24	35	43	42	27	12	65	52	18	35	24	75	38	7	62	20	1
2	1	0,530000000000001	58	0	1	41	53	68	33	76	50	52	78	39	43	12	31	34	69	18	22	43	2	1
2	1	1,83	56	0	1	55	47	55	36	42	66	80	27	42	51	52	66	33	43	52	25	60	67	1
2	3	0,560000000000002	44	0	1	61	54	49	52	50	58	48	60	56	50	45	45	39	49	31	38	40	35	3
2	1	0,879999999999995	65	0	1	40	75	85	46	58	53	37	67	72	41	37	61	17	73	24	48	41	42	1
2	1	0,539999999999999	73	0	1	57	83	47	52	82	88	79	58	53	66	57	43	53	53	63	41	35	57	1
2	1	0,530000000000001	45	0	1	32	33	86	61	36	27	38	39	52	47	17	5	42	9	15	17	5	41	1
2	1	0,960000000000001	60	0	1	46	40	82	24	43	60	64	75	34	53	62	70	27	85	3	59	68	45	1
2	1	0,469999999999999	49	0	1	59	69	81	64	48	62	57	72	56	32	34	16	25	35	49	60	61	35	1
2	2	1,02	50	0	1	46	41	51	7	42	55	17	53	42	28	60	36	1	64	38	32	36	42	2
2	2	0,509999999999998	41	0	0	60	45	47	26	33	50	36	32	32	45	90	83	44	83	51	90	86	50	2
2	1	1,4	77	0	0	21	42	12	47	62	27	4	34	46	78	67	52	21	27	56	10	48	58	1
2	1	0,460000000000001	45	0	1	18	22	76	53	25	33	29	48	76	45	47	32	18	11	65	26	23	37	1
2	1	0,979999999999997	53	0	0	50	55	25	86	50	34	35	36	37	46	7	14	28	13	69	27	14	41	1
2	3	0,950000000000003	35	0	1	70	62	69	69	68	52	73	74	66	51	27	29	24	32	31	29	29	27	3
2	1	1,86	49	0	1	57	89	51	87	76	67	80	35	77	89	43	12	49	66	50	60	56	7	1
2	1	0,469999999999999	49	0	1	62	49	70	67	82	57	68	60	37	69	52	1	7	29	17	58	31	58	1
2	1	1,47000000000001	66	0	1	51	50	45	47	64	57	67	66	22	42	62	48	39	73	56	54	69	40	1
2	1	0,5	50	0	1	16	55	29	21	51	35	20	17	28	44	9	53	70	31	61	15	54	64	1
3	1	0	66	0	0	24	47	49	73	45	63	53	30	57	79	6	68	16	78	35	32	81	35	1
3	1	1,05	37	0	1	47	56	37	59	59	57	28	31	31	19	57	88	54	30	55	50	28	54	1
3	1	0,97	20	0	1	50	33	23	33	65	43	62	44	23	48	55	59	19	84	29	42	84	32	1
3	1	2,98	56	0	0	52	56	65	45	54	55	60	17	45	47	41	50	4	73	25	46	31	42	1
3	1	1,11	46	0	1	59	61	98	54	62	59	92	44	48	83	57	19	47	67	39	33	55	40	1
3	1	0,909999999999999	67	0	0	32	1	34	21	39	75	66	62	27	27	44	60	35	61	52	56	53	46	1
3	1	0,43	14	0	1	43	57	59	62	71	94	85	48	75	86	41	23	41	30	31	62	52	47	1
3	1	0,6	59	0	1	47	47	35	45	57	51	56	15	21	56	57	56	44	43	57	54	33	27	1
3	1	4,94	32	0	0	77	77	85	26	84	70	86	73	72	83	48	38	30	50	20	61	60	19	1
3	1	0,4	45	0	1	55	43	97	46	32	31	57	58	51	47	43	45	2	66	3	56	54	12	1
3	1	5,74	64	0	1	40	63	65	37	52	46	83	72	48	71	27	48	75	34	36	41	54	31	1
3	1	0,52	56	0	0	92	96	45	54	80	95	100	50	75	62	69	22	35	42	61	54	40	64	1
3	1	1,55	39	0	1	52	71	67	26	40	48	80	34	59	57	76	29	5	57	11	68	74	14	1
3	1	0,440000000000001	41	0	0	58	78	36	18	37	55	68	77	33	28	18	84	36	81	82	70	67	39	1
3	1	0,449999999999999	35	0	0	37	54	42	38	4	31	55	32	62	57	0	40	97	52	63	20	37	72	1
3	1	1,06	64	0	0	32	48	55	26	28	57	37	8	19	40	6	21	23	21	8	33	37	1	1
3	1	2,88	29	0	1	19	27	12	40	30	38	41	41	65	54	27	52	81	40	84	12	31	96	1
3	1	1,52	61	0	1	46	32	89	75	41	46	56	39	40	67	30	26	33	52	30	45	9	23	1
3	1	0,949999999999999	49	0	1	46	59	27	3	94	3	43	8	75	14	56	48	72	92	73	44	71	74	1
3	3	0,440000000000001	45	0	0	55	65	50	62	60	57	56	72	57	51	35	23	40	20	30	14	27	31	3
3	2	2,06	44	0	0	33	27	57	45	43	34	52	32	21	28	55	54	52	68	46	59	67	34	2
3	2	0,57	75	0	0	36	40	48	81	54	54	76	47	59	32	56	73	70	53	50	45	56	56	2
3	1	1,52999999999999	59	0	1	65	65	59	30	97	52	95	80	82	65	59	71	59	70	76	45	37	40	1
3	1	1,6	66	0	1	24	9	35	85	27	24	51	16	39	55	8	43	39	18	47	22	8	49	1
3	1	0,530000000000001	51	0	1	76	42	88	42	61	52	83	76	63	77	65	25	24	87	47	34	42	49	1
3	1	1,66	49	0	0	71	62	70	23	54	25	53	72	91	30	49	36	61	34	31	42	58	38	1
3	1	0,520000000000003	66	0	0	41	32	38	30	27	60	56	34	83	42	53	69	68	59	51	28	73	60	1
3	2	2,82	72	0	1	67	75	70	62	75	52	51	73	85	62	3	14	0	1	20	22	10	8	2
3	2	1	22	0	1	48	81	61	56	81	63	68	64	57	74	26	21	5	10	24	14	0	20	2
3	1	1,88999999999999	53	0	1	27	43	66	72	35	33	32	20	18	37	12	34	1	42	41	30	22	8	1
3	1	0,980000000000004	60	0	1	23	26	54	17	23	27	41	3	55	74	44	55	39	42	47	51	65	9	1
3	1	1,01	26	0	1	46	25	53	71	22	16	53	34	8	42	37	52	19	19	1	45	25	48	1
3	1	1,49	45	0	1	43	70	24	60	58	54	55	37	57	51	63	56	44	43	56	31	55	56	1
3	2	1,56	50	0	1	32	44	40	29	41	36	35	41	42	56	36	25	34	32	31	23	20	23	3
3	2	0,420000000000002	45	0	1	60	40	50	72	27	28	63	26	16	25	67	41	60	38	32	41	44	20	2
3	2	1,01000000000001	61	0	1	43	47	59	54	44	42	53	52	59	67	44	24	28	40	22	35	40	27	3
3	2	0,560000000000002	34	0	1	44	32	43	35	49	37	21	42	39	42	69	57	40	58	50	67	65	53	2
3	1	0,970000000000006	46	0	1	39	8	48	39	44	29	33	16	43	29	36	19	74	16	48	2	13	88	1
3	1	0,939999999999998	29	0	1	43	27	6	23	33	32	41	41	31	64	23	68	88	60	70	36	29	69	1
3	1	0,880000000000003	47	0	1	29	27	0	0	29	59	5	32	35	30	37	84	44	52	63	35	3	52	1
3	1	0,460000000000001	62	0	1	50	76	57	48	36	38	39	79	60	88	89	60	39	60	32	83	57	34	1
3	1	0,469999999999999	78	0	1	42	55	87	25	77	48	53	38	68	54	43	12	4	15	19	72	27	14	1
3	1	0,579999999999998	72	0	1	15	34	35	32	55	40	38	18	52	45	18	90	85	46	49	9	17	69	1
3	1	1,13	56	0	1	26	42	47	65	22	60	41	48	53	29	76	67	10	51	19	59	75	31	1
3	1	1,45	59	0	0	48	44	18	46	44	60	43	59	69	93	20	52	85	55	43	48	61	54	1
3	1	0,950000000000003	48	0	0	40	39	76	44	15	13	9	40	33	40	21	66	27	88	41	58	76	62	1
4	2	0	70	0	1	44	44	41	24	29	34	38	36	27	51	41	32	9	22	17	20	22	35	2
4	2	1,8	59	0	1	67	70	72	52	60	54	37	84	64	56	39	13	1	23	23	25	9	10	2
4	2	0,42	60	0	1	58	66	52	81	49	65	74	75	56	51	87	96	82	45	43	78	61	72	2
4	1	0,46	59	0	1	64	71	77	54	42	25	74	50	59	77	33	1	11	74	29	42	36	33	1
4	1	3,24	32	0	1	46	28	22	26	31	17	36	6	70	15	28	50	42	32	65	40	14	60	1
4	2	0,42	50	0	1	77	58	64	96	66	60	85	81	73	72	85	65	73	62	31	67	60	39	2
4	1	0,49	52	0	1	52	27	51	60	54	37	45	47	16	18	6	56	25	7	66	37	16	49	1
4	1	0,59	48	0	0	54	45	63	41	13	57	56	51	21	23	80	12	14	22	19	62	57	23	1
4	1	1,58	61	0	1	43	80	22	24	79	51	68	46	22	15	43	74	72	66	34	47	55	32	1
4	1	1,69	52	0	1	31	52	59	34	61	65	39	66	41	51	67	37	24	51	1	31	71	45	1
4	1	0,59	67	0	0	30	26	43	36	60	11	36	66	41	44	76	77	12	78	34	53	58	67	1
4	2	1,4	55	0	0	62	57	57	41	53	48	26	51	64	66	25	17	18	14	46	23	9	28	2
4	1	0,59	21	0	1	79	21	31	58	41	26	3	16	34	8	35	37	28	25	65	23	25	63	1
4	1	0,56	38	0	1	71	83	24	60	64	53	98	70	47	36	31	42	58	39	41	35	55	58	1
4	1	2,03	55	0	1	61	77	62	73	65	75	76	43	67	73	11	7	11	44	36	36	39	21	1
4	1	1,96	51	0	1	37	45	59	62	58	33	73	37	51	49	37	22	55	52	35	47	40	30	2
4	1	0,530000000000001	39	0	1	72	62	43	8	36	29	78	57	36	23	54	29	63	60	47	62	25	33	1
4	1	0,469999999999999	63	0	1	52	32	25	74	61	50	62	29	62	45	52	67	23	19	26	32	55	41	1
4	1	0,859999999999999	78	0	0	33	20	41	48	34	26	62	18	2	42	63	57	51	60	79	57	32	84	1
4	1	1,42	44	0	1	48	33	45	44	60	65	22	49	51	61	17	50	68	55	54	52	39	60	1
4	1	0,460000000000001	44	0	0	51	40	41	39	27	33	18	46	68	43	80	86	36	74	45	52	81	53	1
4	1	2,01	40	0	0	55	56	62	42	75	68	61	57	50	54	36	26	53	45	9	47	38	38	2
4	1	1,75	38	0	1	59	46	37	30	64	59	45	85	61	70	53	78	48	81	89	54	64	46	1
4	1	2,24	46	0	0	56	36	40	27	20	49	25	53	15	33	61	45	59	46	47	56	67	95	1
4	1	0,960000000000001	76	0	1	61	88	72	81	63	58	37	79	81	62	18	23	26	16	27	41	1	26	1
4	1	0,559999999999999	72	0	0	35	64	54	65	34	28	21	48	63	39	13	72	54	40	37	41	47	34	1
4	1	0,510000000000002	39	0	1	66	70	33	21	41	51	75	87	48	55	59	84	78	71	79	75	73	83	1
4	1	1,53	59	0	0	32	34	54	39	28	78	19	32	31	28	44	65	29	72	37	48	54	29	1
4	1	2,66	40	0	0	64	36	62	28	24	17	74	25	61	47	29	75	65	44	20	44	63	36	1
4	1	3,13	47	0	1	8	25	53	43	52	71	31	60	10	47	35	65	27	55	39	39	20	53	1
4	1	1,01	50	0	1	41	39	53	53	96	63	53	50	46	94	48	40	41	36	59	26	32	55	1
4	2	0,590000000000003	40	0	1	51	42	45	67	43	50	41	62	43	40	27	20	39	34	31	34	47	43	3
4	1	0,990000000000002	43	0	1	76	56	34	43	93	89	78	69	38	73	87	57	44	70	56	45	45	27	1
4	1	0,859999999999999	50	0	1	65	61	58	48	52	66	93	30	59	86	84	70	25	74	71	46	88	32	1
4	1	2,02	30	0	0	67	76	65	33	100	67	77	81	36	56	45	16	26	34	15	43	26	51	1
4	1	2,43000000000001	41	0	0	48	35	49	48	43	23	49	49	64	38	5	2	32	33	51	44	47	34	1
4	2	1,08	27	0	1	64	69	55	98	46	58	89	65	65	88	52	41	80	55	36	38	53	24	2
4	2	0,469999999999999	28	0	1	48	43	53	53	62	44	56	35	48	64	18	38	24	37	15	27	26	21	3
4	1	1,88	35	0	1	40	21	29	52	46	59	12	21	41	82	62	65	49	57	27	58	48	46	1
4	3	1,49	82	0	0	48	54	62	43	46	49	55	63	50	63	30	28	18	16	13	18	18	9	3
4	3	3,41	72	0	1	65	52	67	70	67	62	70	67	73	56	33	28	34	19	21	23	28	14	3
4	1	1,9	48	0	1	67	54	39	60	19	57	36	13	33	47	38	27	47	35	47	25	44	37	1
4	1	0,43	57	0	0	6	47	7	45	31	17	26	34	22	44	41	54	51	35	73	13	27	91	1
5	2	0	42	0	1	59	46	55	52	44	64	47	59	58	59	61	70	23	62	32	71	78	32	2
5	1	0,98	85	0	1	14	66	24	4	31	22	47	44	54	60	43	27	68	45	76	54	10	54	1
5	2	1,47	34	0	1	34	28	52	18	35	34	40	36	27	37	62	67	16	53	33	34	31	35	2
5	1	1,04	58	0	0	37	40	58	57	53	54	47	61	39	25	51	52	30	64	37	46	68	39	1
5	1	2,42	33	0	1	62	70	16	15	65	44	26	24	13	48	73	29	71	28	65	22	40	76	1
5	1	1,53	55	0	1	52	52	87	40	74	69	87	54	60	64	70	18	28	63	44	81	39	26	1
5	1	0,470000000000001	37	0	0	46	46	36	52	54	80	75	56	55	54	33	51	59	21	66	28	25	17	1
5	1	2,18	50	0	0	40	28	3	49	43	45	32	44	48	20	51	59	99	10	64	55	52	99	1
5	1	0,56	65	0	0	37	71	52	80	32	60	35	59	39	41	31	38	45	59	45	25	66	46	1
5	1	0,58	74	0	0	100	85	55	52	89	55	81	71	61	73	37	22	57	3	20	42	39	45	1
5	1	0,460000000000001	29	0	1	53	48	50	56	43	59	42	54	75	48	2	30	30	21	46	50	16	67	1
5	1	1,4	33	0	1	69	43	51	70	69	47	40	54	44	63	53	58	7	34	38	45	40	55	1
5	3	1,05	36	0	0	62	58	63	59	57	64	54	67	68	54	17	6	31	18	18	24	3	13	3
5	3	0,539999999999999	35	0	0	53	51	59	65	63	56	57	59	51	52	59	70	61	50	57	62	44	66	3
5	3	0,449999999999999	51	0	0	78	82	93	77	81	76	91	81	82	85	16	21	17	34	19	15	21	0	3
5	3	0,48	44	0	0	61	71	51	67	69	70	68	70	55	55	27	25	20	24	23	18	27	13	3
5	3	1,03	44	0	1	51	58	69	65	59	57	64	57	48	45	20	16	4	7	10	1	4	17	3
5	3	0,460000000000001	56	0	1	47	69	64	62	50	52	49	45	54	51	48	37	39	42	50	36	37	26	3
5	3	0,510000000000002	45	0	0	55	55	45	57	49	46	57	60	45	55	47	39	47	43	51	45	48	31	3
5	3	1,1	39	0	1	47	47	41	42	41	53	44	53	48	46	29	38	27	32	18	38	30	26	3
5	3	0,469999999999999	54	0	0	50	53	48	35	49	53	51	52	48	46	36	33	40	23	40	26	36	46	3
5	3	0,990000000000002	53	0	1	92	72	88	88	81	97	72	79	81	62	16	5	20	8	24	15	19	21	3
5	3	0,420000000000002	49	0	0	66	81	68	62	70	64	77	65	65	84	10	8	7	20	27	22	28	13	3
5	1	4,13	51	0	1	30	40	52	49	74	57	78	41	39	62	74	31	42	57	49	5	38	16	1
5	1	2,42	69	0	0	84	79	74	74	78	88	41	61	79	76	21	29	57	39	19	54	50	64	1
5	1	1,06	45	0	1	7	35	65	33	40	62	43	44	22	37	67	48	67	57	71	54	82	46	1
5	2	3,44	39	0	1	41	18	23	83	32	28	91	12	17	20	38	36	91	46	49	51	41	34	2
5	2	0,960000000000001	17	0	0	48	44	62	84	53	62	69	56	59	58	13	10	40	4	13	12	15	7	2
5	2	0,450000000000003	56	0	1	49	43	45	35	62	30	45	34	48	56	31	34	21	5	1	12	9	24	2
5	1	1,02	47	0	1	48	81	64	26	61	28	47	32	35	71	32	21	15	7	25	22	13	2	1
5	1	3,64000000000001	42	0	1	78	46	63	66	13	44	42	81	82	69	53	26	27	78	35	4	40	15	1
5	1	2,04	61	0	1	42	81	16	32	70	27	49	65	55	86	65	88	67	40	95	58	61	77	1
5	1	0,490000000000002	41	0	1	54	53	63	39	19	30	65	56	68	74	60	15	46	54	41	31	51	39	1
5	1	2,55	41	0	1	46	94	39	49	100	34	65	96	38	55	25	62	87	68	72	20	54	80	1
5	1	1,27	63	0	1	45	40	14	65	82	40	50	56	23	66	48	19	74	33	82	37	46	82	1
5	3	1,03	43	0	1	55	53	54	51	61	60	54	58	56	50	54	34	40	53	53	37	36	42	3
5	3	0,57	63	0	0	58	67	52	57	54	63	59	65	60	66	38	26	20	30	26	22	20	29	3
5	1	1,43	80	0	1	45	49	51	4	43	28	15	68	41	50	75	31	24	56	62	42	50	35	1
5	1	0,590000000000003	21	0	0	30	4	44	32	54	48	23	21	40	32	41	68	33	65	13	43	52	30	1
5	1	1,42999999999999	53	0	1	55	46	41	36	39	44	42	36	51	44	29	74	59	20	39	72	15	63	1
5	1	1,47	57	0	0	35	24	78	30	45	65	49	29	63	55	52	40	23	85	29	62	60	31	1
5	1	1,91999999999999	56	0	1	66	59	57	16	91	34	82	66	26	37	71	59	38	75	62	63	88	51	1
5	1	0,939999999999998	46	0	1	30	52	27	55	29	65	44	81	59	39	30	35	64	35	65	30	34	12	1
5	1	0,57	48	0	1	52	55	19	81	60	65	56	47	67	57	10	14	40	14	6	36	12	0	2
5	1	2,43	38	0	1	46	18	48	27	19	40	68	39	60	6	41	63	31	51	42	41	71	78	1
5	1	0,969999999999999	64	0	1	55	87	29	18	18	48	44	44	25	49	33	83	88	46	63	67	50	48	1
5	1	0,530000000000001	39	0	1	62	73	52	28	38	89	50	64	55	82	31	52	54	8	16	36	40	35	1
5	1	0,549999999999997	45	0	0	77	76	72	31	67	32	58	24	69	72	64	4	49	46	29	41	40	5	1
6	2	0	73	0	1	70	63	64	96	56	57	78	65	64	74	61	58	69	27	33	57	62	32	2
6	1	0,41	58	0	1	58	87	91	84	64	71	75	71	65	41	39	18	36	22	34	37	32	60	1
6	1	0,89	48	0	1	52	43	67	60	52	18	70	49	37	61	82	32	47	57	34	73	66	12	1
6	2	1,97	80	0	1	24	17	3	30	18	30	47	12	12	17	31	41	35	28	34	36	48	10	2
6	2	0,44	53	0	1	44	35	27	47	36	41	48	39	48	38	17	55	28	36	42	46	39	25	2
6	1	0,51	52	0	1	6	39	28	52	36	63	43	21	25	24	59	42	38	43	63	34	71	63	1
6	3	0,43	55	0	1	51	61	50	42	47	57	44	54	45	65	13	24	24	20	18	30	35	26	3
6	3	0,41	44	0	0	91	91	97	76	75	83	88	89	99	80	17	19	20	17	13	22	17	24	3
6	3	0,920000000000001	90	0	0	67	42	47	57	45	52	49	70	51	53	2	20	16	22	9	24	3	11	3
6	3	0,59	44	0	0	61	57	48	71	61	59	66	58	68	44	20	23	17	24	25	23	14	20	3
6	3	0,58	46	0	0	74	76	65	65	67	63	71	68	63	72	24	26	28	24	10	15	21	35	3
6	1	3,6	76	0	1	34	34	43	2	36	15	67	28	52	2	56	89	52	79	30	96	95	52	1
6	1	1,39	61	0	1	50	41	53	59	37	45	54	77	10	8	38	26	17	40	21	59	57	24	1
6	1	0,529999999999999	46	0	1	54	70	61	43	81	74	58	64	83	59	37	17	39	58	27	52	42	61	1
6	1	1,51	32	0	1	26	39	30	21	8	20	4	22	5	17	65	54	46	41	85	59	95	41	1
6	3	0,56	42	0	0	69	57	67	60	71	60	56	65	58	61	19	13	27	16	21	16	9	13	3
6	3	0,529999999999999	39	0	1	51	67	41	48	45	54	49	45	55	55	56	44	38	40	43	31	29	43	3
6	3	0,56	50	0	1	56	71	69	69	83	82	83	50	78	75	19	19	26	15	36	19	21	17	3
6	1	0,879999999999999	39	0	0	33	32	20	43	12	29	30	20	24	41	35	63	37	53	53	46	31	26	2
6	1	3,54	61	0	1	37	42	48	26	28	31	29	6	46	60	66	55	53	69	13	96	46	28	1
6	1	0,440000000000001	40	0	1	50	15	37	54	28	45	29	25	39	60	23	69	39	22	43	36	30	52	1
6	1	0,489999999999998	49	0	1	85	60	59	86	83	57	55	67	81	49	55	33	26	43	37	40	65	47	1
6	1	3,31	38	0	1	79	58	94	19	91	85	98	99	97	77	82	37	31	93	19	68	80	26	1
6	1	2,51000000000001	50	0	0	79	27	23	43	71	49	61	55	55	33	50	48	44	63	71	57	84	43	1
6	1	2,66	65	0	1	35	33	17	12	60	23	28	20	47	30	55	60	43	75	64	82	47	88	1
6	1	1,72	23	0	0	19	45	49	34	65	83	78	70	21	46	54	28	40	44	31	3	58	42	1
6	1	3,17	33	0	1	65	97	87	78	82	80	78	92	96	96	55	35	28	84	11	46	55	35	1
6	2	1,94	59	0	0	77	50	66	32	39	49	28	74	17	28	71	76	31	59	67	97	64	67	1
6	1	2,01	53	0	0	28	38	43	6	74	50	50	56	27	77	76	54	46	83	91	71	65	16	1
